,first_player_AI,result,moves
0,True,-1,"['4L', '9L', '1L', '10R', '3L', '9R', '1L', '6L', '1L', '9L', '2L', '7R', '3L', '9L', '2R', '8L', '3L', '6L', '0R', '10R', '3L']"
1,True,1,"['1R', '8L', '4R', '6L', '4R', '8L', '2R', '7L', '1L', '6R', '2R', '8R', '2R', '6R']"
2,True,1,"['0L', '10L', '1R', '6R', '3L', '8L', '2R', '7L']"
3,True,-1,"['2R', '10L', '1R', '6L', '3L', '6R', '1L', '8R', '3R', '8R', '2L', '6L', '4R', '6R', '3L', '9L', '1R', '8R', '2R', '7L', '4R', '7R', '0R']"
4,False,1,"['8R', '4L', '7L', '1L', '8L', '3R', '10L', '3R', '8R', '4L', '6L', '1R', '10L', '2R', '9R', '4R', '10L', '0L', '6R', '3L', '8R', '0R']"
5,False,1,"['6R', '2L', '8R', '2R', '7R', '0R', '8L', '1R', '8R', '2L', '6R', '4R', '6R']"
6,False,-1,"['6L', '4R', '8L', '3R', '10L', '0L', '6L', '3R', '6R', '4L', '7R', '3L', '8R', '2R', '9R', '4L', '9L', '0L', '8L', '2L', '7L', '1R', '6L', '4R', '6L', '2R', '9L', '1L', '6R', '4L', '8R', '2L', '6R', '4R', '8L', '4R', '10R', '1L', '9R', '3L', '6R', '2L']"
7,True,-1,"['0L', '7L', '4L', '7R', '0R', '6R', '2L']"
8,True,-1,"['1R', '6L', '3R', '8R', '0L', '6R', '4R', '10L', '3R', '6L', '4L', '7R', '3L', '9R', '2L', '7L', '0L', '9L', '1R', '8L', '2R', '6L', '0R', '7R', '1L', '8L', '0L', '6L', '4R', '10R', '1R', '6L', '2R', '9R', '3L', '10L', '2L']"
9,True,-1,"['4L', '6R', '3L', '7R', '4R', '6L', '3R', '6R', '4L', '7R', '0L', '9L', '1L', '10L', '3L', '8R', '2R', '9L', '3R', '8L', '4R', '10R', '2R', '9L']"
