,first_player_AI,result,moves,player1Score,player2Score
0,True,1,"['4R', '8R', '2L', '6R', '1R', '10L', '3R', '6R', '2R', '6L', '3R', '8R', '2L', '9L', '1L', '10R', '0L', '8L', '2L', '6R', '4L', '10R', '3R', '8R']",2,55
1,True,1,"['3R', '10L', '1R', '9L', '2R', '10R', '0L', '9R', '2L', '8L', '0R', '6L', '2R', '10L', '2L']",23,32
2,True,1,"['1R', '8L', '4R', '10L', '3R', '8R', '4L', '7L', '3L', '10L', '2L', '8L']",7,45
3,True,1,"['2R', '6R', '3R', '10L', '0R', '6L', '0L', '7L', '4R', '8L']",18,37
4,True,1,"['4R', '8R', '3R', '7L', '1L', '6R', '3L', '6L', '4R', '10L', '1R', '8R']",10,45
5,True,1,"['3L', '8R', '0L', '6R', '3R', '10L', '2L', '8L']",16,38
6,True,1,"['3R', '10L', '1R', '9L', '3R', '6R', '1R', '8L', '3L', '7R', '0R', '10R', '4L', '6L', '4R', '9L', '2L']",20,36
7,True,1,"['2R', '6R', '0L', '6L', '2R', '10L', '3L', '7L', '4L', '8L', '2R', '8R']",5,51
8,True,1,"['3L', '8R', '0R', '10R', '3R', '6R', '1R', '10R', '0R', '7R', '4L', '8L']",21,34
9,True,1,"['1L', '6R', '3L', '7R', '2L', '6L', '1L', '10R', '0R', '7R', '4R', '10L', '0L', '7R', '2L', '8R']",17,33
