,result,moves
0,1,"['2R', '6L', '2R', '10L', '1R', '9L', '4R', '9L', '2R', '7R', '3L', '6R', '2L', '8R', '3L', '6R', '0L', '10R', '4R', '9R', '1R', '10R', '3R', '6R', '4R', '7L', '1R', '6L', '4L', '9R', '3L', '10R', '0L', '7L', '1L', '8R', '3R', '9R', '2R', '7R', '3R', '8R', '1R', '9R', '2L', '10L', '1R', '8R', '2R']"
1,1,"['4R', '7L', '3R', '9R', '3R', '10L', '0R', '7R', '2L', '6R', '4R', '10L', '0L', '10R', '2R', '8R', '1R', '10L', '0R', '9R', '3L', '10R', '2L', '9L', '1R', '10L', '2L', '6R']"
2,-1,"['3R', '7R', '1R', '8L', '4R', '7R', '3L', '9R', '0L', '10L', '4R', '8L', '1R', '10L', '3L', '8L', '1R', '9R', '3R', '6R', '0L', '9R', '2R', '7R', '3R', '8L', '4L', '7L', '2R', '6L', '0R', '6L', '2L', '8R', '1R', '7R', '3L', '8R', '2L', '9R', '4R', '10L', '1L', '9L', '0R', '10R', '1L', '8L', '0L', '10R', '3L', '7L', '2R', '6R', '3L', '7L', '2L', '8L', '0L', '10L', '2L']"
3,1,"['1L', '9R', '0L', '9L', '0L', '10R', '0L', '10R', '0L', '8L', '4R', '8R', '3R', '9L']"
4,-1,"['2L', '10R', '0L', '8R', '1L', '9R', '1L', '10R', '3R', '6R', '2R', '8R', '0R', '9L', '3R', '8R', '1R', '9L', '3R', '8R', '4L', '9R', '3L', '10R', '2R', '6L', '3L', '10L']"
5,-1,"['3L', '8L', '4R', '9R', '3L', '8L', '3L', '6L', '0L', '7R', '1L', '6R', '4R', '10R', '1R', '7L', '2R', '9L', '4R', '8R', '1R', '9L', '2L', '8R', '4L', '9L', '0L', '8R', '3L', '9R', '2L', '10R', '2L', '7L', '4L', '6L', '4R', '10L']"
6,-1,"['0L', '10L', '4R', '10R', '4L', '8R', '2L', '9R', '2R', '8L', '2L', '8R', '1R', '6L', '1L', '10R', '1L', '9R', '1R', '10L', '2R', '6L', '0L', '6R', '4L']"
7,-1,"['3L', '7R', '4L', '10L', '1L', '10R', '2L', '8L', '4L', '8L', '2L', '7R', '2L', '8L', '1R', '7R', '3L', '8L', '4L', '10R', '1L', '7L', '0L', '6L', '3R', '9R', '0R', '10L', '3R', '8L', '1L', '6R', '4L']"
8,-1,"['3L', '7L', '4R', '6L', '1L', '9R', '0R', '7R', '1L', '10L', '0L', '6R', '2R', '6R', '4L', '9R', '2L', '10R', '2R', '7L', '3R', '8R', '4L', '6R', '3L', '8R', '2R']"
9,1,"['4L', '9R', '1L', '7R', '2L', '8L', '0R', '8R', '2R', '7L', '4R', '6L', '4R', '8R', '1L', '6R', '2R', '7R', '0R', '8L', '1L', '7R', '0L', '8L', '4L', '7R', '3L', '8R']"
