,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,1,0.13299346,0.025002718,0.31199622,5,"0.13299345970153809,0.05200004577636719,0.0659952163696289,0.025002717971801758,0.03600478172302246"
1,1,0.10298729,0.07700133,0.2790134,3,"0.10298728942871094,0.09902477264404297,0.07700133323669434"
2,1,0.08799243,0.011972189,0.3459761,6,"0.08799242973327637,0.08700132369995117,0.08403539657592773,0.04198598861694336,0.032988786697387695,0.011972188949584961"
3,1,0.18299556,0.0039904118,0.4209721,8,"0.07299399375915527,0.18299555778503418,0.0739905834197998,0.04299044609069824,0.030007123947143555,0.006003141403198242,0.008000850677490234,0.0039904117584228516"
4,1,0.092983484,0.042983055,0.33395123,5,"0.07999253273010254,0.058995962142944336,0.05899620056152344,0.09298348426818848,0.042983055114746094"
5,1,0.15101075,0.01099062,0.64395547,11,"0.07599139213562012,0.1079857349395752,0.08697271347045898,0.0630030632019043,0.038007259368896484,0.03298640251159668,0.02099752426147461,0.15101075172424316,0.04199957847595215,0.010990619659423828,0.014010429382324219"
6,1,0.12698627,0.017994165,0.2969594,5,"0.12698626518249512,0.047986507415771484,0.0520014762878418,0.017994165420532227,0.05199098587036133"
7,1,0.1759758,0.0079910755,0.7594857,11,"0.17400336265563965,0.12199664115905762,0.17597579956054688,0.06299257278442383,0.05353665351867676,0.03799724578857422,0.018988370895385742,0.022002696990966797,0.030004501342773438,0.05399680137634277,0.00799107551574707"
8,1,0.11902547,0.0020041466,0.2994256,8,"0.06602001190185547,0.11902546882629395,0.05300116539001465,0.02798295021057129,0.018383502960205078,0.003003835678100586,0.010004520416259766,0.0020041465759277344"
9,1,0.1339941,0.002017498,0.33201337,6,"0.13399410247802734,0.0690147876739502,0.06499052047729492,0.046999454498291016,0.014997005462646484,0.002017498016357422"
